Year,LocationAbbr,LocationDesc,Question,DataValue,StratificationCategory1,Stratification1,GeoLocation
2013,LA,Louisiana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.8,Gender,Female,"(31.31266064400046, -92.44568007099969)"
2015,LA,Louisiana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.3,Gender,Female,"(31.31266064400046, -92.44568007099969)"
2013,LA,Louisiana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.1,Overall,Overall,"(31.31266064400046, -92.44568007099969)"
2013,LA,Louisiana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.8,Gender,Male,"(31.31266064400046, -92.44568007099969)"
2015,LA,Louisiana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.1,Overall,Overall,"(31.31266064400046, -92.44568007099969)"
2011,LA,Louisiana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.2,Gender,Female,"(31.31266064400046, -92.44568007099969)"
2015,LA,Louisiana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.7,Gender,Male,"(31.31266064400046, -92.44568007099969)"
2011,LA,Louisiana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.1,Overall,Overall,"(31.31266064400046, -92.44568007099969)"
2011,LA,Louisiana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,61,Gender,Male,"(31.31266064400046, -92.44568007099969)"
2011,ME,Maine,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.5,Gender,Male,"(45.254228894000505, -68.98503133599962)"
2015,ME,Maine,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.9,Gender,Male,"(45.254228894000505, -68.98503133599962)"
2011,ME,Maine,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.3,Overall,Overall,"(45.254228894000505, -68.98503133599962)"
2011,ME,Maine,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.1,Gender,Female,"(45.254228894000505, -68.98503133599962)"
2015,ME,Maine,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,73,Gender,Male,"(45.254228894000505, -68.98503133599962)"
2015,ME,Maine,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.9,Overall,Overall,"(45.254228894000505, -68.98503133599962)"
2013,ME,Maine,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.9,Gender,Male,"(45.254228894000505, -68.98503133599962)"
2013,ME,Maine,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.8,Overall,Overall,"(45.254228894000505, -68.98503133599962)"
2013,ME,Maine,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,72.7,Gender,Female,"(45.254228894000505, -68.98503133599962)"
2013,ME,Maine,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.6,Gender,Female,"(45.254228894000505, -68.98503133599962)"
2011,ME,Maine,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,72.3,Gender,Female,"(45.254228894000505, -68.98503133599962)"
2011,ME,Maine,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71.1,Overall,Overall,"(45.254228894000505, -68.98503133599962)"
2013,ME,Maine,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71,Overall,Overall,"(45.254228894000505, -68.98503133599962)"
2015,ME,Maine,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.9,Overall,Overall,"(45.254228894000505, -68.98503133599962)"
2015,ME,Maine,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.1,Gender,Female,"(45.254228894000505, -68.98503133599962)"
2011,ME,Maine,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.1,Gender,Male,"(45.254228894000505, -68.98503133599962)"
2013,ME,Maine,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.6,Gender,Male,"(45.254228894000505, -68.98503133599962)"
2015,ME,Maine,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.8,Gender,Female,"(45.254228894000505, -68.98503133599962)"
2015,MD,Maryland,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.6,Gender,Female,"(39.29058096400047, -76.60926011099963)"
2011,MD,Maryland,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.1,Gender,Male,"(39.29058096400047, -76.60926011099963)"
2015,MD,Maryland,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76,Overall,Overall,"(39.29058096400047, -76.60926011099963)"
2015,MD,Maryland,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.4,Gender,Male,"(39.29058096400047, -76.60926011099963)"
2011,MD,Maryland,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.3,Overall,Overall,"(39.29058096400047, -76.60926011099963)"
2013,MD,Maryland,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.6,Gender,Male,"(39.29058096400047, -76.60926011099963)"
2011,MD,Maryland,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.7,Gender,Female,"(39.29058096400047, -76.60926011099963)"
2013,MD,Maryland,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.5,Overall,Overall,"(39.29058096400047, -76.60926011099963)"
2013,MD,Maryland,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.6,Gender,Female,"(39.29058096400047, -76.60926011099963)"
2015,MD,Maryland,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.5,Gender,Male,"(39.29058096400047, -76.60926011099963)"
2015,MD,Maryland,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.3,Overall,Overall,"(39.29058096400047, -76.60926011099963)"
2015,MD,Maryland,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.1,Gender,Female,"(39.29058096400047, -76.60926011099963)"
2013,MD,Maryland,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67,Gender,Female,"(39.29058096400047, -76.60926011099963)"
2011,MD,Maryland,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.8,Gender,Male,"(39.29058096400047, -76.60926011099963)"
2013,MD,Maryland,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.8,Overall,Overall,"(39.29058096400047, -76.60926011099963)"
2013,MD,Maryland,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.4,Gender,Male,"(39.29058096400047, -76.60926011099963)"
2011,MD,Maryland,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.2,Overall,Overall,"(39.29058096400047, -76.60926011099963)"
2011,MD,Maryland,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.8,Gender,Female,"(39.29058096400047, -76.60926011099963)"
2015,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.1,Gender,Female,"(42.27687047000046, -72.08269067499964)"
2015,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.9,Overall,Overall,"(42.27687047000046, -72.08269067499964)"
2011,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71,Gender,Male,"(42.27687047000046, -72.08269067499964)"
2013,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.9,Gender,Male,"(42.27687047000046, -72.08269067499964)"
2015,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.7,Gender,Male,"(42.27687047000046, -72.08269067499964)"
2013,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.9,Overall,Overall,"(42.27687047000046, -72.08269067499964)"
2011,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.6,Overall,Overall,"(42.27687047000046, -72.08269067499964)"
2013,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.9,Gender,Female,"(42.27687047000046, -72.08269067499964)"
2013,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.4,Gender,Male,"(42.27687047000046, -72.08269067499964)"
2011,MA,Massachusetts,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.2,Gender,Female,"(42.27687047000046, -72.08269067499964)"
2015,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.8,Gender,Male,"(42.27687047000046, -72.08269067499964)"
2013,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.6,Overall,Overall,"(42.27687047000046, -72.08269067499964)"
2013,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.8,Gender,Female,"(42.27687047000046, -72.08269067499964)"
2011,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.7,Gender,Female,"(42.27687047000046, -72.08269067499964)"
2015,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.5,Overall,Overall,"(42.27687047000046, -72.08269067499964)"
2011,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.6,Overall,Overall,"(42.27687047000046, -72.08269067499964)"
2015,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.2,Gender,Female,"(42.27687047000046, -72.08269067499964)"
2011,MA,Massachusetts,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.6,Gender,Male,"(42.27687047000046, -72.08269067499964)"
2011,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,82.4,Gender,Male,"(44.6613195430005, -84.71439026999968)"
2011,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,78.2,Overall,Overall,"(44.6613195430005, -84.71439026999968)"
2013,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.3,Gender,Female,"(44.6613195430005, -84.71439026999968)"
2011,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.1,Gender,Female,"(44.6613195430005, -84.71439026999968)"
2013,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72,Overall,Overall,"(44.6613195430005, -84.71439026999968)"
2011,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70,Gender,Female,"(44.6613195430005, -84.71439026999968)"
2011,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.9,Gender,Male,"(44.6613195430005, -84.71439026999968)"
2011,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.9,Overall,Overall,"(44.6613195430005, -84.71439026999968)"
2013,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.8,Gender,Male,"(44.6613195430005, -84.71439026999968)"
2013,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.1,Gender,Male,"(44.6613195430005, -84.71439026999968)"
2015,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.8,Gender,Female,"(44.6613195430005, -84.71439026999968)"
2015,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.3,Overall,Overall,"(44.6613195430005, -84.71439026999968)"
2013,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.3,Overall,Overall,"(44.6613195430005, -84.71439026999968)"
2015,MI,Michigan,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.9,Gender,Male,"(44.6613195430005, -84.71439026999968)"
2015,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.9,Gender,Male,"(44.6613195430005, -84.71439026999968)"
2013,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.3,Gender,Female,"(44.6613195430005, -84.71439026999968)"
2015,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.7,Overall,Overall,"(44.6613195430005, -84.71439026999968)"
2015,MI,Michigan,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.5,Gender,Female,"(44.6613195430005, -84.71439026999968)"
2013,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.1,Gender,Male,"(46.35564873600049, -94.79420050299967)"
2013,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.8,Overall,Overall,"(46.35564873600049, -94.79420050299967)"
2013,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.5,Gender,Female,"(46.35564873600049, -94.79420050299967)"
2011,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.7,Gender,Female,"(46.35564873600049, -94.79420050299967)"
2013,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.4,Gender,Male,"(46.35564873600049, -94.79420050299967)"
2011,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67,Gender,Male,"(46.35564873600049, -94.79420050299967)"
2015,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.9,Gender,Male,"(46.35564873600049, -94.79420050299967)"
2011,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.7,Overall,Overall,"(46.35564873600049, -94.79420050299967)"
2015,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.4,Overall,Overall,"(46.35564873600049, -94.79420050299967)"
2011,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.9,Gender,Male,"(46.35564873600049, -94.79420050299967)"
2013,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.9,Overall,Overall,"(46.35564873600049, -94.79420050299967)"
2015,MN,Minnesota,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.8,Gender,Female,"(46.35564873600049, -94.79420050299967)"
2011,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.6,Overall,Overall,"(46.35564873600049, -94.79420050299967)"
2013,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.1,Gender,Female,"(46.35564873600049, -94.79420050299967)"
2011,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64,Gender,Female,"(46.35564873600049, -94.79420050299967)"
2015,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62,Gender,Male,"(46.35564873600049, -94.79420050299967)"
2015,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,60.6,Overall,Overall,"(46.35564873600049, -94.79420050299967)"
2015,MN,Minnesota,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.1,Gender,Female,"(46.35564873600049, -94.79420050299967)"
2015,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,82.2,Gender,Female,"(32.745510099000455, -89.53803082499968)"
2013,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,81.6,Gender,Female,"(32.745510099000455, -89.53803082499968)"
2013,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,81.1,Overall,Overall,"(32.745510099000455, -89.53803082499968)"
2013,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,80.5,Gender,Male,"(32.745510099000455, -89.53803082499968)"
2015,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,79.6,Overall,Overall,"(32.745510099000455, -89.53803082499968)"
2011,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,78,Gender,Female,"(32.745510099000455, -89.53803082499968)"
2011,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.7,Overall,Overall,"(32.745510099000455, -89.53803082499968)"
2011,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.4,Gender,Male,"(32.745510099000455, -89.53803082499968)"
2015,MS,Mississippi,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.8,Gender,Male,"(32.745510099000455, -89.53803082499968)"
2011,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.8,Gender,Female,"(32.745510099000455, -89.53803082499968)"
2013,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.7,Gender,Male,"(32.745510099000455, -89.53803082499968)"
2011,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70,Overall,Overall,"(32.745510099000455, -89.53803082499968)"
2013,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.9,Overall,Overall,"(32.745510099000455, -89.53803082499968)"
2013,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.4,Gender,Female,"(32.745510099000455, -89.53803082499968)"
2015,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.2,Gender,Female,"(32.745510099000455, -89.53803082499968)"
2011,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.9,Gender,Male,"(32.745510099000455, -89.53803082499968)"
2015,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66,Overall,Overall,"(32.745510099000455, -89.53803082499968)"
2015,MS,Mississippi,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.6,Gender,Male,"(32.745510099000455, -89.53803082499968)"
2011,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,81.8,Gender,Male,"(38.635790776000476, -92.56630005299968)"
2011,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,79.1,Overall,Overall,"(38.635790776000476, -92.56630005299968)"
2011,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.6,Gender,Female,"(38.635790776000476, -92.56630005299968)"
2013,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.6,Gender,Male,"(38.635790776000476, -92.56630005299968)"
2013,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.9,Overall,Overall,"(38.635790776000476, -92.56630005299968)"
2013,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71.4,Gender,Male,"(38.635790776000476, -92.56630005299968)"
2015,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.5,Gender,Male,"(38.635790776000476, -92.56630005299968)"
2015,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.2,Overall,Overall,"(38.635790776000476, -92.56630005299968)"
2015,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.9,Gender,Female,"(38.635790776000476, -92.56630005299968)"
2013,MO,Missouri,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.8,Gender,Female,"(38.635790776000476, -92.56630005299968)"
2013,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69,Overall,Overall,"(38.635790776000476, -92.56630005299968)"
2011,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.1,Gender,Male,"(38.635790776000476, -92.56630005299968)"
2013,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67,Gender,Female,"(38.635790776000476, -92.56630005299968)"
2011,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.7,Overall,Overall,"(38.635790776000476, -92.56630005299968)"
2015,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.7,Gender,Female,"(38.635790776000476, -92.56630005299968)"
2011,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.4,Gender,Female,"(38.635790776000476, -92.56630005299968)"
2015,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.9,Overall,Overall,"(38.635790776000476, -92.56630005299968)"
2015,MO,Missouri,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.1,Gender,Male,"(38.635790776000476, -92.56630005299968)"
2011,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.8,Gender,Male,"(47.06652897200047, -109.42442064499971)"
2011,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76,Overall,Overall,"(47.06652897200047, -109.42442064499971)"
2011,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.3,Gender,Female,"(47.06652897200047, -109.42442064499971)"
2015,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.9,Gender,Male,"(47.06652897200047, -109.42442064499971)"
2015,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.2,Overall,Overall,"(47.06652897200047, -109.42442064499971)"
2015,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.5,Gender,Female,"(47.06652897200047, -109.42442064499971)"
2013,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70,Gender,Male,"(47.06652897200047, -109.42442064499971)"
2013,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.9,Overall,Overall,"(47.06652897200047, -109.42442064499971)"
2013,MT,Montana,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.6,Gender,Female,"(47.06652897200047, -109.42442064499971)"
2013,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.4,Gender,Female,"(47.06652897200047, -109.42442064499971)"
2011,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.3,Gender,Male,"(47.06652897200047, -109.42442064499971)"
2011,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62,Overall,Overall,"(47.06652897200047, -109.42442064499971)"
2011,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,61.8,Gender,Female,"(47.06652897200047, -109.42442064499971)"
2013,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,60.5,Overall,Overall,"(47.06652897200047, -109.42442064499971)"
2015,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.8,Gender,Female,"(47.06652897200047, -109.42442064499971)"
2015,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.8,Overall,Overall,"(47.06652897200047, -109.42442064499971)"
2015,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.7,Gender,Male,"(47.06652897200047, -109.42442064499971)"
2013,MT,Montana,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,58,Gender,Male,"(47.06652897200047, -109.42442064499971)"
2013,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.7,Gender,Male,"(41.6410409880005, -99.36572062299967)"
2011,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.3,Gender,Male,"(41.6410409880005, -99.36572062299967)"
2013,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.2,Overall,Overall,"(41.6410409880005, -99.36572062299967)"
2015,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.9,Gender,Male,"(41.6410409880005, -99.36572062299967)"
2015,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.2,Overall,Overall,"(41.6410409880005, -99.36572062299967)"
2015,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.4,Gender,Female,"(41.6410409880005, -99.36572062299967)"
2013,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.4,Gender,Female,"(41.6410409880005, -99.36572062299967)"
2011,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.1,Overall,Overall,"(41.6410409880005, -99.36572062299967)"
2013,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.2,Gender,Female,"(41.6410409880005, -99.36572062299967)"
2013,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.7,Overall,Overall,"(41.6410409880005, -99.36572062299967)"
2013,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.3,Gender,Male,"(41.6410409880005, -99.36572062299967)"
2011,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.2,Gender,Male,"(41.6410409880005, -99.36572062299967)"
2011,NE,Nebraska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,64.9,Gender,Female,"(41.6410409880005, -99.36572062299967)"
2011,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.6,Overall,Overall,"(41.6410409880005, -99.36572062299967)"
2011,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64,Gender,Female,"(41.6410409880005, -99.36572062299967)"
2015,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.6,Gender,Male,"(41.6410409880005, -99.36572062299967)"
2015,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.5,Overall,Overall,"(41.6410409880005, -99.36572062299967)"
2015,NE,Nebraska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.4,Gender,Female,"(41.6410409880005, -99.36572062299967)"
2011,NV,Nevada,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,77.2,Gender,Male,"(39.493240390000494, -117.07184056399967)"
2013,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.4,Gender,Female,"(39.493240390000494, -117.07184056399967)"
2011,NV,Nevada,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,75.7,Overall,Overall,"(39.493240390000494, -117.07184056399967)"
2011,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.8,Gender,Female,"(39.493240390000494, -117.07184056399967)"
2011,NV,Nevada,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,73.7,Gender,Female,"(39.493240390000494, -117.07184056399967)"
2011,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.5,Overall,Overall,"(39.493240390000494, -117.07184056399967)"
2015,NV,Nevada,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.8,Gender,Female,"(39.493240390000494, -117.07184056399967)"
2013,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.8,Overall,Overall,"(39.493240390000494, -117.07184056399967)"
2011,NV,Nevada,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.7,Gender,Male,"(39.493240390000494, -117.07184056399967)"
